"","X","Y","H","DBH"
"105",754288.064267814,3389030.14447493,1.2628488,0.537645329190164
"106",754423.725377008,3389164.78976046,5.96897,0.342326598440729
"107",754412.168842283,3389155.05717821,6.0485418,0.414578098794425
"108",754389.989170697,3389142.69035714,2.23950679999999,0.364434493427831
"109",754389.126875811,3389135.8167094,5.25960229999998,0.318688719599549
"110",754365.845132689,3389116.52059147,6.67936279999999,0.592927061281571
"111",754359.575587252,3389117.12431369,9.40350799999999,0.21650635094611
"112",754379.993531001,3389134.34186259,3.2193788,0.125
"113",754312.926910751,3389072.33867435,5.335295,0.125
"114",754354.31287228,3389106.7801753,6.272622,0.515388203202208
"115",754377.668126737,3389126.11412309,4.3849352,0.233853586673371
"116",754312.638984187,3389062.48274621,10.2390464,0.364434493427831
"117",754308.636403584,3389067.80433885,3.13144279999999,0.459279326771846
"118",754342.473219854,3389096.80810036,5.73340799999999,0.559016994374947
"119",754566.376959531,3389266.09768428,3.09838609999999,0.441941738241592
"120",754567.672676054,3389264.11481057,3.1113776,0.441941738241592
"121",754565.8864664,3389266.51697367,4.2780288,0.507752400289748
"122",754565.848320093,3389260.84334929,3.09169099999999,0.467707173346743
"123",754564.494569451,3389261.54782452,3.0523319,0.467707173346743
"124",754564.033197202,3389256.23469829,3.0837593,0.441941738241592
"125",754563.503314393,3389263.4712671,3.1068741,0.661437827766148
"126",754562.367775692,3389251.34558247,1.37287349999999,0.618718433538229
"127",754560.017945259,3389261.0485312,7.6313124,0.459279326771846
"128",754559.6772756,3389254.93252992,6.55518429999999,0.293150984988964
"129",754547.083316559,3389250.44531177,9.82531520000003,0.612372435695794
"130",754544.604811562,3389268.93865076,6.70006,0.537645329190164
"131",754543.907757042,3389271.39605798,3.84312999999999,0.25
"132",754542.433588429,3389280.4980746,3.36132899999999,0.695970545353753
"133",754541.927200068,3389263.39905444,8.940763,0.537645329190164
"134",754539.479654218,3389247.44910595,5.1217642,0.612372435695794
"135",754536.931230636,3389229.49578732,1.8382733,0.643476883811688
"136",754535.950802069,3389264.00458253,8.06984000000001,0.279508497187474
"137",754535.117484565,3389231.93608936,3.2798344,1.04582503316759
"138",754534.891863468,3389257.50171256,7.2778598,0.441941738241592
"139",754534.777045851,3389240.08525904,8.66338039999998,0.522912516583797
"140",754534.171703703,3389232.00916839,3.2376176,0.59947894041409
"141",754530.445351684,3389236.43808728,6.6720739,0.433012701892219
"142",754531.251829359,3389228.93338626,3.1596304,0.414578098794425
"143",754528.294845341,3389252.10395797,7.1860836,0.395284707521047
"144",754480.48900623,3389197.14538743,4.80034499999999,0.484122918275927
"145",754485.955972541,3389234.34478537,3.55534939999999,0.57282196186948
"146",754490.560600115,3389220.6190856,7.45058649999999,0.414578098794425
"147",754497.315057364,3389226.26700005,7.26765559999999,0.441941738241592
"148",754470.970230574,3389196.66297532,6.631218,0.21650635094611
"149",754463.529817385,3389203.42795755,9.31947439999999,0.21650635094611
"150",754529.160827343,3389231.3269839,3.233107,0.770551750371122
"151",754517.863055782,3389224.38619531,1.35159489999999,0.395284707521047
"152",754483.452477373,3389214.66686513,6.87421679999999,0.330718913883074
"153",754465.624225184,3389199.92722198,8.34982599999998,0.475985819116494
"154",754505.05704112,3389214.75131715,1.547468,0.625
"155",754518.22010967,3389224.78651825,1.31085159999999,0.559016994374947
"156",754492.687913672,3389204.75335162,11.471198,0.605959982177041
"157",754516.450727271,3389223.62519988,1.38788169999999,0.637377439199098
"158",754514.501737006,3389227.36936963,1.83448619999999,0.459279326771846
"159",754527.251265607,3389233.74651441,3.304991,0.433012701892219
"160",754449.942815916,3389182.6270986,9.58732,0.21650635094611
"161",754488.455331071,3389235.98600932,1.3567592,0.55198505414549
"162",754476.445257838,3389208.72982309,8.4400564,0.507752400289748
"163",754485.591914841,3389196.45388216,6.61915959999999,0.405046293650491
"164",754499.023102986,3389208.42770704,6.2487908,0.441941738241592
"165",754520.759086673,3389228.32512819,3.3559028,0.441941738241592
"166",754524.82679174,3389223.4942094,3.15080779999999,0.441941738241592
"167",754524.735991223,3389230.66901852,3.28474499999999,0.395284707521047
"168",754527.880005988,3389226.48076727,3.110734,0.342326598440729
"169",754481.467324064,3389218.95871424,5.6349476,0.21650635094611
"170",754483.489051402,3389232.05708013,3.0965612,0.55198505414549
"171",754527.411174397,3389269.29777309,3.2468903,0.559016994374947
"172",754520.871975955,3389248.31997527,2.2530134,0.441941738241592
