X,Y,dbh_m_f,h_m_f,dbh_m_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,MBG_Width,MBG_Length,treeID,cw_avg,cw_pi,icw
754399.552639,3389144.61448,0.33957400918,5.19999980927,0.0,0.0,0.0,6.162,43.875,7.071,8.732,249,7.9014999999999995,7.474181227750319,7.687840613875159
754411.469086,3389154.18667,0.417189985514,7.09999990463,0.0,0.0,0.0,6.954,87.75,9.839,11.885,248,10.862,10.57008845991889,10.716044229959445
754465.632251,3389198.93331,0.543317973614,10.8999996185,0.0,0.0,0.0,9.353,136.625,11.791,16.348,244,14.0695,13.189251411639768,13.629375705819884
754481.1651889998,3389214.44573,0.378381997346,8.39999961853,0.0,0.0,0.0,7.847,161.0,13.283,19.32,241,16.3015,14.317526556719258,15.30951327835963
754534.0178969998,3389238.97618,0.533616006374,10.1000003815,0.0,0.0,0.0,9.626,149.25,12.26,15.692,233,13.975999999999999,13.785173268832098,13.880586634416048
754538.222057,3389255.71995,0.441446006298,9.0,0.0,0.0,0.0,11.5,168.75,10.89,19.526,232,15.208,14.658075357087599,14.9330376785438
754544.216309,3389262.723,0.562722027302,12.0,0.0,0.0,0.0,10.436,169.0,12.741,19.526,228,16.133499999999998,14.668929172241665,15.401214586120831
754842.184747,3389478.1938,0.17463760078,6.30000019073,0.0,0.0,0.0,6.677,24.5,5.1,6.708,224,5.904,5.585191925620057,5.7445959628100285
754855.342588,3389491.03829,0.194041803479,8.80000019073,0.0,0.0,0.0,8.223,23.375,5.0,6.325,218,5.6625,5.455453634500474,5.558976817250237
754859.2041119998,3389493.15464,0.218298003078,6.90000009537,0.0,0.0,0.0,7.302,25.625,5.3,6.708,217,6.004,5.711984185363134,5.857992092681567
754859.8048959998,3389500.80784,0.261956006288,9.0,0.0,0.0,0.0,8.848,21.125,4.95,5.657,215,5.3035,5.186249645218625,5.2448748226093125
754886.66778,3389516.71877,0.189190804958,7.0,0.0,0.0,0.0,7.0,22.25,5.295,6.042,204,5.6685,5.322553886092406,5.495526943046203
754928.79261,3389551.19101,0.194041803479,5.69999980927,0.0,0.0,0.0,5.975000000000001,19.875,4.596,5.831,185,5.2135,5.0304707485096625,5.121985374254831
754937.79879,3389550.13238,0.213446006178,6.90000009537,0.0,0.0,0.0,6.741000000000001,18.375,4.357,5.701,186,5.029,4.8369180925986965,4.932959046299349
754953.864819,3389572.48643,0.218298003078,7.80000019073,0.0,0.0,0.0,7.316,15.375,4.0,5.0,169,4.5,4.424483924742312,4.462241962371156
754948.0829979999,3389620.19995,0.257106006146,8.10000038147,0.0,0.0,0.0,8.118,37.625,5.7,8.382,140,7.041,6.921389879977901,6.981194939988951
754919.261748,3389597.89021,0.23770199716,7.69999980927,0.0,0.0,0.0,7.442,36.625,5.657,9.192,147,7.4245,6.828791864299668,7.1266459321498346
754900.614106,3389581.73393,0.252254009246,7.5,0.0,0.0,0.0,8.456,35.875,6.5,8.078,161,7.289,6.7585108320823135,7.023755416041157
754880.877706,3389565.69767,0.310465991498,8.80000019073,0.0,0.0,0.0,8.116,53.0,6.893,9.962,177,8.4275,8.214724333230155,8.321112166615077
754623.7688609998,3389676.71916,0.630635976792,12.8999996185,0.0,0.0,0.0,15.095,313.375,18.0,24.207,125,21.1035,19.975020458847634,20.539260229423817
754614.7906299998,3389679.46019,0.853784024716,14.0,0.0,0.0,0.0,15.095,313.375,18.0,24.207,125,21.1035,19.975020458847634,20.539260229423817
754578.922262,3389701.34134,0.674296021462,10.3999996185,0.0,0.0,0.0,10.973,151.375,12.529,16.008,114,14.2685,13.882962078903956,14.075731039451977
754727.9532859998,3389694.45174,0.242551997304,6.30000019073,0.0,0.0,0.0,6.078,23.25,4.95,6.325,120,5.6375,5.440847306724618,5.539173653362309
754774.087931,3389720.73417,0.402635991574,7.59999990463,0.0,0.0,0.0,8.45,90.75,8.349,13.647,108,10.998000000000001,10.749255261864239,10.87362763093212
754803.5102089999,3389745.36264,0.533616006374,8.80000019073,0.0,0.0,0.0,9.304,72.875,8.98,11.63,103,10.305,9.632618118796934,9.968809059398467
754840.623716,3389811.23209,0.300763994456,6.80000019073,0.0,0.0,0.0,7.636,30.75,5.657,8.276,96,6.9665,6.257165172872317,6.611832586436158
