X,Y,treeID,dbh_cm_f,h_m_f,dbh_cm_mls,h_m_mls,cw_m_mls,h_m_tt,ca_m2,cw_avg_m,cw_pi_m,icw_m,h_m_tls,dbh_cm_tls
754753.833575,3390141.55306,24,72.2805976868,13.1000003815,0.0,0.0,0.0,12.706,166.625,15.4895,14.56549138,15.02749569,11.6246015,67.3145600892
754742.8442819999,3390143.97043,23,66.94440245620001,15.3999996185,0.0,0.0,0.0,13.26,410.125,24.0525,22.8514193932,23.4519596966,0.0,0.0
754758.61649,3390158.97411,22,57.2423994542,13.6000003815,0.0,0.0,0.0,11.855,141.5,14.1785,13.4224958774,13.8004979387,0.0,0.0
754776.956596,3390160.21176,21,52.391397952999995,10.6000003815,0.0,0.0,0.0,9.116,121.875,13.7675,12.4569687129,13.1122343565,8.1463161,49.212549212599995
754784.961033,3390166.10355,19,50.450801849399994,8.89999961853,0.0,0.0,0.0,8.351,165.375,15.7485,14.5107542778,15.1296271389,7.3878951,23.3853586673
754798.797334,3390193.58393,14,60.1530015468,11.3999996185,0.0,0.0,0.0,11.219,223.0,17.4455,16.8502943142,17.1478971571,0.0,0.0
754803.80416,3390197.84248,14,51.9061982632,13.1000003815,0.0,0.0,0.0,11.219,223.0,17.4455,16.8502943142,17.1478971571,0.0,0.0
754832.220339,3390172.44315,18,43.65940094,17.1,0.0,0.0,0.0,17.772,148.75,13.911,13.7620631549,13.8365315774,0.0,0.0
754827.603172,3390167.72534,18,37.838199734599996,18.2,0.0,0.0,0.0,17.772,148.75,13.911,13.7620631549,13.8365315774,0.0,0.0
754826.251428,3390216.09481,13,58.2126021386,11.3000001907,0.0,0.0,0.0,12.008,258.25,20.6725,18.1332322664,19.4028661332,0.0,0.0
754836.7004729998,3390211.18428,13,56.27220273020001,13.1000003815,0.0,0.0,0.0,12.008,258.25,20.6725,18.1332322664,19.4028661332,10.9849386,55.9016994375
754841.0636129999,3390231.22609,11,55.30200004580001,12.5,0.0,0.0,0.0,10.791,168.875,15.3875,14.6635032689,15.0255016345,0.0,0.0
754849.756775,3390222.01384,11,44.6296006442,12.5,0.0,0.0,0.0,10.791,168.875,15.3875,14.6635032689,15.0255016345,9.6471606,50.0
754857.481591,3390228.40565,12,64.03380036360001,10.6,0.0,0.0,0.0,11.47,316.75,23.7125,20.0822963277,21.8973981639,8.4059482,65.5505530106
754860.179796,3390245.82894,8,55.7869970798,10.3999996185,0.0,0.0,0.0,10.949,280.375,19.6095,18.8940344383,19.2517672191,0.0,0.0
754864.6351619998,3390234.44708,12,53.361600637399995,12.6999998093,0.0,0.0,0.0,11.47,316.75,23.7125,20.0822963277,21.8973981639,9.6431232,55.9016994375
754875.2930959999,3390250.83875,8,59.1827988624,11.6000003815,0.0,0.0,0.0,10.949,280.375,19.6095,18.8940344383,19.2517672191,0.0,0.0
754862.508462,3390263.32844,6,46.0850000382,9.0,0.0,0.0,0.0,10.008,138.125,13.903,13.2614558822,13.5822279411,0.0,0.0
754889.910964,3390275.08804,5,53.361600637399995,10.5,0.0,0.0,0.0,11.791,106.0,11.974,11.6173745632,11.7956872816,0.0,0.0
754870.934752,3390281.17767,4,85.3784024716,14.45,0.0,0.0,0.0,12.867,200.375,16.6645,15.9726445455,16.3185722727,0.0,0.0
